Word,Probability 1,Probability 2,Predicted Language
Universal,0.1778846153846154,0.08033240997229917,English
Declaration,0.2878787878787879,0.4148606811145511,French
of,0.13383838383838384,0,English
Human,0.2283653846153846,0.1329639889196676,English
Rights,0.04051172707889126,0.04954954954954955,French
Preamble,0.17567567567567569,0.36013986013986016,French
Whereas,0.09615384615384616,0.027700831024930747,English
recognition,0.2878787878787879,0.4148606811145511,French
of,0.13383838383838384,0,English
the,0.416,0.07407407407407407,English
inherent,0.11084905660377359,0.22388059701492538,French
dignity,0.04477611940298507,0.0022522522522522522,English
and,0.18632075471698112,0.05970149253731343,English
of,0.13383838383838384,0,English
the,0.416,0.07407407407407407,English
equal,0.1778846153846154,0.08033240997229917,English
and,0.18632075471698112,0.05970149253731343,English
inalienable,0.17567567567567569,0.36013986013986016,French
rights,0.04051172707889126,0.04954954954954955,French
of,0.13383838383838384,0,English
all,0.13063063063063063,0.055944055944055944,English
members,0.039660056657223795,0.07430340557275542,French
of,0.13383838383838384,0,English
the,0.416,0.07407407407407407,English
human,0.2283653846153846,0.1329639889196676,English
family,0.04954954954954955,0,English
is,0.09873417721518987,0.0641025641025641,English
the,0.416,0.07407407407407407,English
foundation,0.2878787878787879,0.4148606811145511,French
of,0.13383838383838384,0,English
freedom,0.07828282828282829,0.07430340557275542,English
justice,0.14,0.1569767441860465,French
and,0.18632075471698112,0.05970149253731343,English
peace,0.14,0.1569767441860465,French
in,0.19240506329113924,0.10512820512820513,English
the,0.416,0.07407407407407407,English
world,0.02702702702702703,0,English
Whereas,0.09615384615384616,0.027700831024930747,English
disregard,0.0169971671388102,0.009287925696594427,English
and,0.18632075471698112,0.05970149253731343,English
contempt,0.011627906976744186,0.008695652173913044,English
for,0.12626262626262627,0.043343653250773995,English
human,0.2283653846153846,0.1329639889196676,English
rights,0.04051172707889126,0.04954954954954955,French
have,0.8392857142857143,0.38461538461538464,English
resulted,0.08210180623973727,0,English
in,0.19240506329113924,0.10512820512820513,English
barbarous,0.05504587155963303,0.09689922480620156,French
acts,0.04051172707889126,0.04954954954954955,French
which,0.12,0.040697674418604654,English
have,0.8392857142857143,0.38461538461538464,English
outraged,0.08210180623973727,0,English
the,0.416,0.07407407407407407,English
conscience,0.14,0.1569767441860465,French
of,0.13383838383838384,0,English
