Word,Probability 1,Probability 2,Predicted Language
Universal,0.04483942637850939,0.05778945241462922,French
Declaration,0.08563926479499091,0.08122853101636694,English
of,0.02443950717026863,0.006870074762578299,English
Human,0.08563926479499091,0.08122853101636694,English
Rights,0.051100787719652596,0.07678318852293392,French
Preamble,0.12300545344374873,0.1402303495655688,French
Whereas,0.051100787719652596,0.07678318852293392,French
recognition,0.08563926479499091,0.08122853101636694,English
of,0.02443950717026863,0.006870074762578299,English
the,0.12300545344374873,0.1402303495655688,French
inherent,0.09472833770955362,0.08971509395837543,English
dignity,0.017370228236719853,0.0016164881794301878,English
and,0.03676025045445364,0.0464740351586179,French
of,0.02443950717026863,0.006870074762578299,English
the,0.12300545344374873,0.1402303495655688,French
equal,0.04483942637850939,0.05778945241462922,French
and,0.03676025045445364,0.0464740351586179,French
inalienable,0.12300545344374873,0.1402303495655688,French
rights,0.051100787719652596,0.07678318852293392,French
of,0.02443950717026863,0.006870074762578299,English
all,0.04483942637850939,0.05778945241462922,French
members,0.051100787719652596,0.07678318852293392,French
of,0.02443950717026863,0.006870074762578299,English
the,0.12300545344374873,0.1402303495655688,French
human,0.08563926479499091,0.08122853101636694,English
family,0.017370228236719853,0.0016164881794301878,English
is,0.051100787719652596,0.07678318852293392,French
the,0.12300545344374873,0.1402303495655688,French
foundation,0.08563926479499091,0.08122853101636694,English
of,0.02443950717026863,0.006870074762578299,English
freedom,0.022419713189254696,0.02566174984845423,French
justice,0.12300545344374873,0.1402303495655688,French
and,0.03676025045445364,0.0464740351586179,French
peace,0.12300545344374873,0.1402303495655688,French
in,0.08563926479499091,0.08122853101636694,English
the,0.12300545344374873,0.1402303495655688,French
world,0.03676025045445364,0.0464740351586179,French
Whereas,0.051100787719652596,0.07678318852293392,French
disregard,0.03676025045445364,0.0464740351586179,French
and,0.03676025045445364,0.0464740351586179,French
contempt,0.09472833770955362,0.08971509395837543,English
for,0.07129872752979197,0.06526571024449383,English
human,0.08563926479499091,0.08122853101636694,English
rights,0.051100787719652596,0.07678318852293392,French
have,0.12300545344374873,0.1402303495655688,French
resulted,0.03676025045445364,0.0464740351586179,French
in,0.08563926479499091,0.08122853101636694,English
barbarous,0.051100787719652596,0.07678318852293392,French
acts,0.051100787719652596,0.07678318852293392,French
which,0.05049484952534841,0.005455647605576884,English
have,0.12300545344374873,0.1402303495655688,French
outraged,0.03676025045445364,0.0464740351586179,French
the,0.12300545344374873,0.1402303495655688,French
conscience,0.12300545344374873,0.1402303495655688,French
of,0.02443950717026863,0.006870074762578299,English
mankind,0.03676025045445364,0.0464740351586179,French
and,0.03676025045445364,0.0464740351586179,French
the,0.12300545344374873,0.1402303495655688,French
advent,0.09472833770955362,0.08971509395837543,English
of,0.02443950717026863,0.006870074762578299,English
a,0.08402342961017976,0.07294402909678722,English
world,0.03676025045445364,0.0464740351586179,French
in,0.08563926479499091,0.08122853101636694,English
which,0.05049484952534841,0.005455647605576884,English
human,0.08563926479499091,0.08122853101636694,English
beings,0.051100787719652596,0.07678318852293392,French
shall,0.04483942637850939,0.05778945241462922,French
enjoy,0.017370228236719853,0.0016164881794301878,English
freedom,0.022419713189254696,0.02566174984845423,French
of,0.02443950717026863,0.006870074762578299,English
speech,0.05049484952534841,0.005455647605576884,English
and,0.03676025045445364,0.0464740351586179,French
belief,0.02443950717026863,0.006870074762578299,English
and,0.03676025045445364,0.0464740351586179,French
freedom,0.022419713189254696,0.02566174984845423,French
from,0.022419713189254696,0.02566174984845423,French
fear,0.07129872752979197,0.06526571024449383,English
and,0.03676025045445364,0.0464740351586179,French
want,0.09472833770955362,0.08971509395837543,English
has,0.051100787719652596,0.07678318852293392,French
been,0.08563926479499091,0.08122853101636694,English
proclaimed,0.03676025045445364,0.0464740351586179,French
as,0.051100787719652596,0.07678318852293392,French
the,0.12300545344374873,0.1402303495655688,French
highest,0.09472833770955362,0.08971509395837543,English
aspiration,0.08563926479499091,0.08122853101636694,English
of,0.02443950717026863,0.006870074762578299,English
the,0.12300545344374873,0.1402303495655688,French
common,0.08563926479499091,0.08122853101636694,English
people,0.12300545344374873,0.1402303495655688,French
Whereas,0.051100787719652596,0.07678318852293392,French
it,0.09472833770955362,0.08971509395837543,English
is,0.051100787719652596,0.07678318852293392,French
essential,0.04483942637850939,0.05778945241462922,French
if,0.02443950717026863,0.006870074762578299,English
man,0.08563926479499091,0.08122853101636694,English
is,0.051100787719652596,0.07678318852293392,French
not,0.09472833770955362,0.08971509395837543,English
to,0.0799838416481519,0.06526571024449383,English
be,0.12300545344374873,0.1402303495655688,French
compelled,0.03676025045445364,0.0464740351586179,French
to,0.0799838416481519,0.06526571024449383,English
have,0.12300545344374873,0.1402303495655688,French
recourse,0.12300545344374873,0.1402303495655688,French
as,0.051100787719652596,0.07678318852293392,French
a,0.08402342961017976,0.07294402909678722,English
last,0.09472833770955362,0.08971509395837543,English
resort,0.09472833770955362,0.08971509395837543,English
to,0.0799838416481519,0.06526571024449383,English
rebellion,0.08563926479499091,0.08122853101636694,English
against,0.09472833770955362,0.08971509395837543,English
tyranny,0.017370228236719853,0.0016164881794301878,English
and,0.03676025045445364,0.0464740351586179,French
oppression,0.08563926479499091,0.08122853101636694,English
that,0.09472833770955362,0.08971509395837543,English
human,0.08563926479499091,0.08122853101636694,English
rights,0.051100787719652596,0.07678318852293392,French
should,0.03676025045445364,0.0464740351586179,French
be,0.12300545344374873,0.1402303495655688,French
protected,0.03676025045445364,0.0464740351586179,French
by,0.017370228236719853,0.0016164881794301878,English
the,0.12300545344374873,0.1402303495655688,French
rule,0.12300545344374873,0.1402303495655688,French
of,0.02443950717026863,0.006870074762578299,English
law,0.00989699050696829,0,English
Whereas,0.051100787719652596,0.07678318852293392,French
it,0.09472833770955362,0.08971509395837543,English
is,0.051100787719652596,0.07678318852293392,French
essential,0.04483942637850939,0.05778945241462922,French
to,0.0799838416481519,0.06526571024449383,English
promote,0.12300545344374873,0.1402303495655688,French
the,0.12300545344374873,0.1402303495655688,French
development,0.09472833770955362,0.08971509395837543,English
of,0.02443950717026863,0.006870074762578299,English
friendly,0.017370228236719853,0.0016164881794301878,English
relations,0.051100787719652596,0.07678318852293392,French
between,0.08563926479499091,0.08122853101636694,English
nations,0.051100787719652596,0.07678318852293392,French
Whereas,0.051100787719652596,0.07678318852293392,French
the,0.12300545344374873,0.1402303495655688,French
peoples,0.051100787719652596,0.07678318852293392,French
of,0.02443950717026863,0.006870074762578299,English
the,0.12300545344374873,0.1402303495655688,French
United,0.03676025045445364,0.0464740351586179,French
Nations,0.051100787719652596,0.07678318852293392,French
have,0.12300545344374873,0.1402303495655688,French
in,0.08563926479499091,0.08122853101636694,English
the,0.12300545344374873,0.1402303495655688,French
Charter,0.07129872752979197,0.06526571024449383,English
reaffirmed,0.03676025045445364,0.0464740351586179,French
their,0.07129872752979197,0.06526571024449383,English
faith,0.05049484952534841,0.005455647605576884,English
in,0.08563926479499091,0.08122853101636694,English
fundamental,0.04483942637850939,0.05778945241462922,French
human,0.08563926479499091,0.08122853101636694,English
rights,0.051100787719652596,0.07678318852293392,French
in,0.08563926479499091,0.08122853101636694,English
the,0.12300545344374873,0.1402303495655688,French
dignity,0.017370228236719853,0.0016164881794301878,English
and,0.03676025045445364,0.0464740351586179,French
worth,0.05049484952534841,0.005455647605576884,English
of,0.02443950717026863,0.006870074762578299,English
the,0.12300545344374873,0.1402303495655688,French
human,0.08563926479499091,0.08122853101636694,English
person,0.08563926479499091,0.08122853101636694,English
and,0.03676025045445364,0.0464740351586179,French
in,0.08563926479499091,0.08122853101636694,English
the,0.12300545344374873,0.1402303495655688,French
equal,0.04483942637850939,0.05778945241462922,French
rights,0.051100787719652596,0.07678318852293392,French
of,0.02443950717026863,0.006870074762578299,English
men,0.08563926479499091,0.08122853101636694,English
and,0.03676025045445364,0.0464740351586179,French
women,0.08563926479499091,0.08122853101636694,English
and,0.03676025045445364,0.0464740351586179,French
have,0.12300545344374873,0.1402303495655688,French
determined,0.03676025045445364,0.0464740351586179,French
to,0.0799838416481519,0.06526571024449383,English
promote,0.12300545344374873,0.1402303495655688,French
social,0.04483942637850939,0.05778945241462922,French
progress,0.051100787719652596,0.07678318852293392,French
and,0.03676025045445364,0.0464740351586179,French
better,0.07129872752979197,0.06526571024449383,English
