Word,Probability 1,Probability 2,Predicted Language
DICHIARAZIONE,0,0,Spanish
UNIVERSALE,0,0,Spanish
DEI,0,0,Spanish
DIRITTI,0,0,Spanish
UMANI,0,0,Spanish
Preambolo,0.09480122324159021,0.1801470588235294,Spanish
Considerato,0.21844660194174756,0.24892703862660945,Spanish
che,0.425531914893617,0,Italian
il,0.03638814016172507,0.018421052631578946,Italian
riconoscimento,0.21844660194174756,0.24892703862660945,Spanish
della,0.18654434250764526,0.25,Spanish
dignità,0.05339805825242718,0,Italian
inerente,0.11650485436893204,0.18025751072961374,Spanish
a,0.11650485436893204,0.18025751072961374,Spanish
tutti,0.17233009708737865,0.15450643776824036,Italian
i,0.17233009708737865,0.15450643776824036,Italian
membri,0.2883435582822086,0.09798270893371758,Italian
della,0.18654434250764526,0.25,Spanish
famiglia,0.05525606469002695,0.08157894736842106,Spanish
umana,0.14186046511627906,0.18387909319899245,Spanish
e,0.14186046511627906,0.18387909319899245,Spanish
dei,0.019538188277087035,0,Italian
loro,0.08588957055214724,0.07780979827089338,Italian
diritti,0.17233009708737865,0.15450643776824036,Italian
uguali,0.20795107033639143,0.15073529411764705,Italian
ed,0.017761989342806393,0.007886435331230283,Italian
inalienabili,0.20795107033639143,0.15073529411764705,Italian
costituisce,0.046511627906976744,0.018656716417910446,Italian
il,0.03638814016172507,0.018421052631578946,Italian
fondamento,0.21844660194174756,0.24892703862660945,Spanish
della,0.18654434250764526,0.25,Spanish
libertà,0.05339805825242718,0,Italian
della,0.18654434250764526,0.25,Spanish
giustizia,0.05525606469002695,0.08157894736842106,Spanish
e,0.05525606469002695,0.08157894736842106,Spanish
della,0.18654434250764526,0.25,Spanish
pace,0.046511627906976744,0.018656716417910446,Italian
nel,0.09591474245115453,0.07570977917981073,Italian
mondo,0.043478260869565216,0.1414790996784566,Spanish
;,0.043478260869565216,0.1414790996784566,Spanish
Considerato,0.21844660194174756,0.24892703862660945,Spanish
che,0.425531914893617,0,Italian
il,0.03638814016172507,0.018421052631578946,Italian
disconoscimento,0.21844660194174756,0.24892703862660945,Spanish
e,0.21844660194174756,0.24892703862660945,Spanish
il,0.03638814016172507,0.018421052631578946,Italian
disprezzo,0.01282051282051282,0,Italian
dei,0.019538188277087035,0,Italian
diritti,0.17233009708737865,0.15450643776824036,Italian
umani,0.14186046511627906,0.06297229219143577,Italian
hanno,0.09534883720930233,0.06297229219143577,Italian
portato,0.21844660194174756,0.24892703862660945,Spanish
ad,0.03551401869158879,0.10200364298724955,Spanish
atti,0.17233009708737865,0.15450643776824036,Italian
di,0.4782608695652174,0.1157556270096463,Italian
barbarie,0.022911051212938006,0.12105263157894737,Spanish
che,0.425531914893617,0,Italian
offendono,0.09534883720930233,0.06297229219143577,Italian
la,0.18654434250764526,0.25,Spanish
coscienza,0.32051282051282054,0.7142857142857143,Spanish
dell,0.1620795107033639,0.011029411764705883,Italian
umanità,0.05339805825242718,0,Italian
e,0.05339805825242718,0,Italian
che,0.425531914893617,0,Italian
l,0.425531914893617,0,Italian
avvento,0.21844660194174756,0.24892703862660945,Spanish
di,0.4782608695652174,0.1157556270096463,Italian
un,0.2328042328042328,0.18681318681318682,Italian
mondo,0.043478260869565216,0.1414790996784566,Spanish
in,0.10377358490566038,0.09210526315789473,Italian
cui,0.042328042328042326,0.038461538461538464,Italian
gli,0.20795107033639143,0.15073529411764705,Italian
esseri,0.2883435582822086,0.09798270893371758,Italian
umani,0.14186046511627906,0.06297229219143577,Italian
godano,0.09534883720930233,0.06297229219143577,Italian
della,0.18654434250764526,0.25,Spanish
libertà,0.05339805825242718,0,Italian
di,0.4782608695652174,0.1157556270096463,Italian
parola,0.18654434250764526,0.25,Spanish
e,0.18654434250764526,0.25,Spanish
di,0.4782608695652174,0.1157556270096463,Italian
credo,0.043478260869565216,0.1414790996784566,Spanish
e,0.043478260869565216,0.1414790996784566,Spanish
della,0.18654434250764526,0.25,Spanish
libertà,0.05339805825242718,0,Italian
dal,0.1383177570093458,0.10746812386156648,Italian
timore,0.19325153374233128,0.2478386167146974,Spanish
e,0.19325153374233128,0.2478386167146974,Spanish
dal,0.1383177570093458,0.10746812386156648,Italian
bisogno,0.09534883720930233,0.06297229219143577,Italian
è,0.09534883720930233,0.06297229219143577,Italian
stato,0.21844660194174756,0.24892703862660945,Spanish
proclamato,0.21844660194174756,0.24892703862660945,Spanish
come,0.3018867924528302,0.18181818181818182,Italian
la,0.18654434250764526,0.25,Spanish
più,0.0013477088948787063,0,Italian
alta,0.13349514563106796,0.16738197424892703,Spanish
aspirazione,0.15348837209302327,0.07304785894206549,Italian
dell,0.1620795107033639,0.011029411764705883,Italian
uomo,0.12264150943396226,0.12878787878787878,Spanish
;,0.12264150943396226,0.12878787878787878,Spanish
Considerato,0.21844660194174756,0.24892703862660945,Spanish
che,0.425531914893617,0,Italian
è,0.425531914893617,0,Italian
indispensabile,0.1437308868501529,0.11029411764705882,Italian
che,0.425531914893617,0,Italian
i,0.425531914893617,0,Italian
diritti,0.17233009708737865,0.15450643776824036,Italian
umani,0.14186046511627906,0.06297229219143577,Italian
siano,0.09534883720930233,0.06297229219143577,Italian
protetti,0.17233009708737865,0.15450643776824036,Italian
da,0.09057971014492754,0.1639871382636656,Spanish
norme,0.3018867924528302,0.18181818181818182,Italian
giuridiche,0.425531914893617,0,Italian
se,0.13671875,0.125,Italian
si,0.17578125,0.055232558139534885,Italian
vuole,0.1437308868501529,0.11029411764705882,Italian
evitare,0.19325153374233128,0.2478386167146974,Spanish
che,0.425531914893617,0,Italian
l,0.425531914893617,0,Italian
uomo,0.12264150943396226,0.12878787878787878,Spanish
sia,0.05525606469002695,0.08157894736842106,Spanish
costretto,0.21844660194174756,0.24892703862660945,Spanish
a,0.21844660194174756,0.24892703862660945,Spanish
ricorrere,0.19325153374233128,0.2478386167146974,Spanish
come,0.3018867924528302,0.18181818181818182,Italian
ultima,0.2169811320754717,0.18181818181818182,Italian
istanza,0.32051282051282054,0.7142857142857143,Spanish
alla,0.18654434250764526,0.25,Spanish
ribellione,0.15348837209302327,0.07304785894206549,Italian
contro,0.08588957055214724,0.07780979827089338,Italian
la,0.18654434250764526,0.25,Spanish
tirannia,0.05525606469002695,0.08157894736842106,Spanish
e,0.05525606469002695,0.08157894736842106,Spanish
l,0.05525606469002695,0.08157894736842106,Spanish
oppressione,0.15348837209302327,0.07304785894206549,Italian
;,0.15348837209302327,0.07304785894206549,Italian
Considerato,0.21844660194174756,0.24892703862660945,Spanish
che,0.425531914893617,0,Italian
è,0.425531914893617,0,Italian
indispensabile,0.1437308868501529,0.11029411764705882,Italian
promuovere,0.19325153374233128,0.2478386167146974,Spanish
lo,0.09480122324159021,0.1801470588235294,Spanish
sviluppo,0.25,0.20168067226890757,Italian
di,0.4782608695652174,0.1157556270096463,Italian
rapporti,0.17233009708737865,0.15450643776824036,Italian
amichevoli,0.20795107033639143,0.15073529411764705,Italian
tra,0.13496932515337423,0.16714697406340057,Spanish
le,0.1437308868501529,0.11029411764705882,Italian
Nazioni,0.14186046511627906,0.06297229219143577,Italian
;,0.14186046511627906,0.06297229219143577,Italian
Considerato,0.21844660194174756,0.24892703862660945,Spanish
che,0.425531914893617,0,Italian
i,0.425531914893617,0,Italian
popoli,0.20795107033639143,0.15073529411764705,Italian
delle,0.1437308868501529,0.11029411764705882,Italian
Nazioni,0.14186046511627906,0.06297229219143577,Italian
Unite,0.11650485436893204,0.18025751072961374,Spanish
