Word,Probability 1,Probability 2,Predicted Language
Universal,0.8,0,English
Declaration,0.96875,0.9666666666666667,English
of,0.96875,0.9666666666666667,English
Human,0.6842105263157895,0.1,English
Rights,0.4838709677419355,0,English
Preamble,0.42857142857142855,0.375,English
Whereas,0.42857142857142855,0,English
recognition,0.96875,0.9666666666666667,English
of,0.96875,0.9666666666666667,English
the,0.7631578947368421,0,English
inherent,0.42857142857142855,0.5757575757575758,French
dignity,0.15517241379310345,0,English
and,0.5894736842105263,0.020833333333333332,English
of,0.5894736842105263,0.020833333333333332,English
the,0.7631578947368421,0,English
equal,0.8181818181818182,0,English
and,0.5894736842105263,0.020833333333333332,English
inalienable,0.42857142857142855,0.375,English
rights,0.4838709677419355,0,English
of,0.4838709677419355,0,English
all,0.2972972972972973,0,English
members,0.15853658536585366,0.2833333333333333,French
of,0.15853658536585366,0.2833333333333333,French
the,0.7631578947368421,0,English
human,0.6842105263157895,0.1,English
family,0.6,0,English
is,0.6,0,English
the,0.7631578947368421,0,English
foundation,0.96875,0.9666666666666667,English
of,0.96875,0.9666666666666667,English
freedom,0.9230769230769231,0.14285714285714285,English
justice,0.03125,0.034482758620689655,French
and,0.5894736842105263,0.020833333333333332,English
peace,0.17647058823529413,0.15384615384615385,English
in,0.17647058823529413,0.15384615384615385,English
the,0.7631578947368421,0,English
world,1.0,0,English
Whereas,0.42857142857142855,0,English
disregard,0.06779661016949153,0.021739130434782608,English
and,0.5894736842105263,0.020833333333333332,English
contempt,0.16666666666666666,0,English
for,0.8571428571428571,0.3076923076923077,English
human,0.6842105263157895,0.1,English
rights,0.4838709677419355,0,English
have,0.9166666666666666,0.3333333333333333,English
resulted,0.26666666666666666,0,English
in,0.26666666666666666,0,English
barbarous,0.1,0.19672131147540983,French
acts,0.14285714285714285,0,English
which,0.15625,0,English
have,0.9166666666666666,0.3333333333333333,English
outraged,0.2,0,English
the,0.7631578947368421,0,English
conscience,0.7142857142857143,0.6875,English
of,0.7142857142857143,0.6875,English
mankind,0.07894736842105263,0.14634146341463414,French
and,0.5894736842105263,0.020833333333333332,English
the,0.7631578947368421,0,English
advent,0.42857142857142855,0.5757575757575758,French
of,0.42857142857142855,0.5757575757575758,French
a,0.42857142857142855,0.5757575757575758,French
world,1.0,0,English
in,1.0,0,English
which,0.15625,0,English
human,0.6842105263157895,0.1,English
beings,0.15,0,English
shall,0.2972972972972973,0,English
enjoy,1.0,0,English
freedom,0.9230769230769231,0.14285714285714285,English
of,0.9230769230769231,0.14285714285714285,English
speech,0.037037037037037035,0,English
and,0.5894736842105263,0.020833333333333332,English
belief,0.125,0,English
and,0.5894736842105263,0.020833333333333332,English
freedom,0.9230769230769231,0.14285714285714285,English
from,0.3076923076923077,0,English
fear,0.09523809523809523,0,English
and,0.5894736842105263,0.020833333333333332,English
want,0.042105263157894736,0.4166666666666667,French
has,0.3023255813953488,0,English
been,0.1,0,English
proclaimed,0.15384615384615385,0,English
as,0.15384615384615385,0,English
the,0.7631578947368421,0,English
highest,0.08571428571428572,0.05128205128205128,English
aspiration,0.96875,0.9666666666666667,English
of,0.96875,0.9666666666666667,English
the,0.7631578947368421,0,English
common,0.45454545454545453,0.5,French
people,0.8888888888888888,0.3076923076923077,English
Whereas,0.42857142857142855,0,English
it,0.42857142857142855,0,English
is,0.42857142857142855,0,English
essential,0.6,0.6,French
if,0.6,0.6,French
man,0.6842105263157895,0.1,English
is,0.6842105263157895,0.1,English
not,0.2,0.2,French
to,0.2,0.2,French
be,0.2,0.2,French
compelled,0.23076923076923078,0,English
to,0.23076923076923078,0,English
have,0.9166666666666666,0.3333333333333333,English
recourse,0.14285714285714285,0.16666666666666666,French
as,0.14285714285714285,0.16666666666666666,French
a,0.14285714285714285,0.16666666666666666,French
last,0.025,0,English
resort,0.1,0.35714285714285715,French
to,0.1,0.35714285714285715,French
rebellion,0.96875,0.9666666666666667,English
against,0.38095238095238093,0.10416666666666667,English
tyranny,0.5,0,English
and,0.5894736842105263,0.020833333333333332,English
oppression,0.96875,0.9666666666666667,English
that,0.06976744186046512,0,English
human,0.6842105263157895,0.1,English
rights,0.4838709677419355,0,English
should,0.25,0,English
be,0.25,0,English
protected,0.26666666666666666,0,English
by,0.26666666666666666,0,English
the,0.7631578947368421,0,English
rule,0.125,0.2727272727272727,French
of,0.125,0.2727272727272727,French
law,0.3333333333333333,0,English
Whereas,0.42857142857142855,0,English
it,0.42857142857142855,0,English
is,0.42857142857142855,0,English
essential,0.6,0.6,French
to,0.6,0.6,French
promote,0.4,0.6,French
the,0.7631578947368421,0,English
development,0.42857142857142855,0.5757575757575758,French
of,0.42857142857142855,0.5757575757575758,French
friendly,1.0,0,English
relations,0.14035087719298245,0.20149253731343283,French
between,0.1,0,English
nations,0.14035087719298245,0.20149253731343283,French
Whereas,0.42857142857142855,0,English
the,0.7631578947368421,0,English
peoples,0.1282051282051282,0.32038834951456313,French
of,0.1282051282051282,0.32038834951456313,French
the,0.7631578947368421,0,English
United,0.26666666666666666,0,English
Nations,0.14035087719298245,0.20149253731343283,French
have,0.9166666666666666,0.3333333333333333,English
in,0.9166666666666666,0.3333333333333333,English
the,0.7631578947368421,0,English
Charter,0.26666666666666666,0.15625,English
reaffirmed,0.15384615384615385,0,English
their,0.5,0,English
faith,0.20689655172413793,0,English
in,0.20689655172413793,0,English
fundamental,0.2,0.058823529411764705,English
human,0.6842105263157895,0.1,English
rights,0.4838709677419355,0,English
in,0.4838709677419355,0,English
the,0.7631578947368421,0,English
dignity,0.15517241379310345,0,English
and,0.5894736842105263,0.020833333333333332,English
worth,0.12903225806451613,0,English
of,0.12903225806451613,0,English
the,0.7631578947368421,0,English
human,0.6842105263157895,0.1,English
person,0.35714285714285715,0.5526315789473685,French
and,0.5894736842105263,0.020833333333333332,English
in,0.5894736842105263,0.020833333333333332,English
the,0.7631578947368421,0,English
equal,0.8181818181818182,0,English
rights,0.4838709677419355,0,English
of,0.4838709677419355,0,English
men,0.5384615384615384,0.4489795918367347,English
and,0.5894736842105263,0.020833333333333332,English
women,0.5384615384615384,0.4489795918367347,English
and,0.5894736842105263,0.020833333333333332,English
have,0.9166666666666666,0.3333333333333333,English
determined,0.03571428571428571,0,English
to,0.03571428571428571,0,English
promote,0.4,0.6,French
social,0.6,0.6,French
progress,0.17142857142857143,0.05128205128205128,English
and,0.5894736842105263,0.020833333333333332,English
better,0.26666666666666666,0.15625,English
standards,0.3333333333333333,0,English
of,0.3333333333333333,0,English
life,0.6666666666666666,0,English
in,0.6666666666666666,0,English
larger,0.06666666666666667,0.25,French
freedom,0.9230769230769231,0.14285714285714285,English
Whereas,0.42857142857142855,0,English
Member,0.12903225806451613,1.0,French
States,0.06666666666666667,0.15625,French
have,0.9166666666666666,0.3333333333333333,English
pledged,0.2,0,English
themselves,0.0425531914893617,0.2,French
to,0.0425531914893617,0.2,French
achieve,1.0,0.25,English
in,1.0,0.25,English
cooperation,0.96875,0.9666666666666667,English
with,0.20689655172413793,0,English
the,0.7631578947368421,0,English
United,0.26666666666666666,0,English
Nations,0.14035087719298245,0.20149253731343283,French
the,0.7631578947368421,0,English
promotion,0.96875,0.9666666666666667,English
of,0.96875,0.9666666666666667,English
universal,0.8,0,English
respect,0.4444444444444444,0.5333333333333333,French
for,0.8571428571428571,0.3076923076923077,English
and,0.5894736842105263,0.020833333333333332,English
observance,0.7142857142857143,0.6875,English
of,0.7142857142857143,0.6875,English
human,0.6842105263157895,0.1,English
rights,0.4838709677419355,0,English
and,0.5894736842105263,0.020833333333333332,English
fundamental,0.2,0.058823529411764705,English
freedoms,0.12903225806451613,0,English
Whereas,0.42857142857142855,0,English
a,0.42857142857142855,0,English
common,0.45454545454545453,0.5,French
understanding,0.18421052631578946,0,English
of,0.18421052631578946,0,English
these,0.05714285714285714,0,English
rights,0.4838709677419355,0,English
and,0.5894736842105263,0.020833333333333332,English
freedoms,0.12903225806451613,0,English
is,0.12903225806451613,0,English
of,0.12903225806451613,0,English
the,0.7631578947368421,0,English
greatest,0.08571428571428572,0.05128205128205128,English
importance,0.7142857142857143,0.6875,English
for,0.8571428571428571,0.3076923076923077,English
the,0.7631578947368421,0,English
full,0.5,0,English
realization,0.96875,0.9666666666666667,English
of,0.96875,0.9666666666666667,English
this,0.5666666666666667,0,English
pledge,1.0,0,English
Now,0,0,French
therefore,0.08,0,English
The,0,0,French
General,0.09090909090909091,0.024390243902439025,English
Assembly,0.14285714285714285,0,English
Proclaims,0.0625,0,English
this,0.5666666666666667,0,English
Universal,0.8,0,English
Declaration,0.96875,0.9666666666666667,English
of,0.96875,0.9666666666666667,English
Human,0.6842105263157895,0.1,English
Rights,0.4838709677419355,0,English
as,0.4838709677419355,0,English
a,0.4838709677419355,0,English
common,0.45454545454545453,0.5,French
standard,0.06779661016949153,0.021739130434782608,English
of,0.06779661016949153,0.021739130434782608,English
achievement,0.42857142857142855,0.5757575757575758,French
for,0.8571428571428571,0.3076923076923077,English
all,0.2972972972972973,0,English
peoples,0.1282051282051282,0.32038834951456313,French
and,0.5894736842105263,0.020833333333333332,English
all,0.2972972972972973,0,English
nations,0.14035087719298245,0.20149253731343283,French
to,0.14035087719298245,0.20149253731343283,French
the,0.7631578947368421,0,English
end,0.09523809523809523,0.045454545454545456,English
that,0.06976744186046512,0,English
every,0.21951219512195122,0,English
individual,0.8181818181818182,0,English
and,0.5894736842105263,0.020833333333333332,English
every,0.21951219512195122,0,English
organ,0.125,0.125,French
of,0.125,0.125,French
society,0.25,0,English
keeping,0.18421052631578946,0,English
this,0.5666666666666667,0,English
Declaration,0.96875,0.9666666666666667,English
constantly,0.14285714285714285,0,English
in,0.14285714285714285,0,English
mind,0.07894736842105263,0.14634146341463414,French
shall,0.2972972972972973,0,English
strive,0.8333333333333334,0.5833333333333334,English
by,0.8333333333333334,0.5833333333333334,English
teaching,0.18421052631578946,0,English
and,0.5894736842105263,0.020833333333333332,English
education,0.96875,0.9666666666666667,English
to,0.96875,0.9666666666666667,English
promote,0.4,0.6,French
respect,0.4444444444444444,0.5333333333333333,French
for,0.8571428571428571,0.3076923076923077,English
these,0.05714285714285714,0,English
rights,0.4838709677419355,0,English
and,0.5894736842105263,0.020833333333333332,English
freedoms,0.12903225806451613,0,English
and,0.5894736842105263,0.020833333333333332,English
by,0.5894736842105263,0.020833333333333332,English
progressive,0.8333333333333334,0.5833333333333334,English
measures,0.16666666666666666,0.34375,French
national,0.4883720930232558,0.375,English
and,0.5894736842105263,0.020833333333333332,English
international,0.4883720930232558,0.375,English
to,0.4883720930232558,0.375,English
secure,0.21428571428571427,0.18181818181818182,English
their,0.5,0,English
universal,0.8,0,English
and,0.5894736842105263,0.020833333333333332,English
effective,0.8333333333333334,0.5833333333333334,English
recognition,0.96875,0.9666666666666667,English
and,0.5894736842105263,0.020833333333333332,English
observance,0.7142857142857143,0.6875,English
both,0.4,0,English
among,0.02631578947368421,0,English
the,0.7631578947368421,0,English
peoples,0.1282051282051282,0.32038834951456313,French
of,0.1282051282051282,0.32038834951456313,French
Member,0.12903225806451613,1.0,French
States,0.06666666666666667,0.15625,French
themselves,0.0425531914893617,0.2,French
and,0.5894736842105263,0.020833333333333332,English
among,0.02631578947368421,0,English
the,0.7631578947368421,0,English
peoples,0.1282051282051282,0.32038834951456313,French
of,0.1282051282051282,0.32038834951456313,French
territories,0.125,0.17391304347826086,French
under,0.1724137931034483,0.019417475728155338,English
their,0.5,0,English
jurisdiction,0.96875,0.9666666666666667,English
Article,0.6666666666666666,0.5517241379310345,English
1,0.6666666666666666,0.5517241379310345,English
All,0,0,French
human,0.6842105263157895,0.1,English
beings,0.15,0,English
are,0.1016949152542373,0,English
born,0.02,0,English
free,0.19444444444444445,0,English
and,0.5894736842105263,0.020833333333333332,English
equal,0.8181818181818182,0,English
in,0.8181818181818182,0,English
dignity,0.15517241379310345,0,English
and,0.5894736842105263,0.020833333333333332,English
rights,0.4838709677419355,0,English
They,0.019230769230769232,0,English
are,0.1016949152542373,0,English
endowed,0.3333333333333333,0,English
with,0.20689655172413793,0,English
reason,0.35714285714285715,0.5526315789473685,French
and,0.5894736842105263,0.020833333333333332,English
conscience,0.7142857142857143,0.6875,English
and,0.5894736842105263,0.020833333333333332,English
should,0.25,0,English
act,0.29411764705882354,0.46153846153846156,French
towards,0.3333333333333333,0,English
one,0.21052631578947367,0,English
another,0.19230769230769232,1.0,French
in,0.19230769230769232,1.0,French
a,0.19230769230769232,1.0,French
spirit,0.06557377049180328,0.18518518518518517,French
of,0.06557377049180328,0.18518518518518517,French
brotherhood,0.5,0,English
Article,0.6666666666666666,0.5517241379310345,English
2,0.6666666666666666,0.5517241379310345,English
Everyone,0.21052631578947367,0,English
is,0.21052631578947367,0,English
entitled,0.23076923076923078,0,English
to,0.23076923076923078,0,English
all,0.2972972972972973,0,English
the,0.7631578947368421,0,English
rights,0.4838709677419355,0,English
and,0.5894736842105263,0.020833333333333332,English
freedoms,0.12903225806451613,0,English
set,0.041666666666666664,0,English
forth,0.12903225806451613,0,English
in,0.12903225806451613,0,English
this,0.5666666666666667,0,English
Declaration,0.96875,0.9666666666666667,English
without,0.2,0.3114754098360656,French
distinction,0.96875,0.9666666666666667,English
of,0.96875,0.9666666666666667,English
any,0.10526315789473684,0,English
kind,0.07894736842105263,0.14634146341463414,French
such,0.75,0,English
as,0.75,0,English
race,0.17647058823529413,0.15384615384615385,English
colour,0.15,0.13114754098360656,English
sex,0.041666666666666664,0.03125,English
language,0.5454545454545454,0.6666666666666666,French
religion,0.96875,0.9666666666666667,English
political,0.5,0.14285714285714285,English
or,0.5,0.14285714285714285,English
other,0.19230769230769232,1.0,French
opinion,0.96875,0.9666666666666667,English
national,0.4883720930232558,0.375,English
or,0.4883720930232558,0.375,English
social,0.6,0.6,French
origin,0.2,0.16666666666666666,English
property,0.12903225806451613,0,English
birth,0.12903225806451613,0,English
or,0.12903225806451613,0,English
other,0.19230769230769232,1.0,French
status,0.25,0,English
Furthermore,0.08,0,English
no,0.08,0,English
distinction,0.96875,0.9666666666666667,English
shall,0.2972972972972973,0,English
be,0.2972972972972973,0,English
made,0.4,0,English
on,0.4,0,English
the,0.7631578947368421,0,English
basis,0.16666666666666666,0,English
of,0.16666666666666666,0,English
the,0.7631578947368421,0,English
political,0.5,0.14285714285714285,English
jurisdictional,0.4883720930232558,0.375,English
or,0.4883720930232558,0.375,English
international,0.4883720930232558,0.375,English
status,0.25,0,English
of,0.25,0,English
the,0.7631578947368421,0,English
country,0.17647058823529413,0,English
or,0.17647058823529413,0,English
territory,0.02,0,English
to,0.02,0,English
which,0.15625,0,English
a,0.15625,0,English
person,0.35714285714285715,0.5526315789473685,French
belongs,0.15,0,English
whether,0.19230769230769232,1.0,French
it,0.19230769230769232,1.0,French
be,0.19230769230769232,1.0,French
independent,0.42857142857142855,0.5757575757575758,French
trust,0.3333333333333333,0.04,English
non,0.1,0.2,French
-,0.1,0.2,French
self,0.05263157894736842,0,English
-,0.05263157894736842,0,English
governing,0.18421052631578946,0,English
or,0.18421052631578946,0,English
under,0.1724137931034483,0.019417475728155338,English
any,0.10526315789473684,0,English
other,0.19230769230769232,1.0,French
limitation,0.96875,0.9666666666666667,English
of,0.96875,0.9666666666666667,English
sovereignty,0.02127659574468085,0,English
Article,0.6666666666666666,0.5517241379310345,English
3,0.6666666666666666,0.5517241379310345,English
Everyone,0.21052631578947367,0,English
has,0.3023255813953488,0,English
the,0.7631578947368421,0,English
right,0.96875,0,English
to,0.96875,0,English
life,0.6666666666666666,0,English
liberty,0.12903225806451613,0,English
and,0.5894736842105263,0.020833333333333332,English
security,0.15517241379310345,0,English
of,0.15517241379310345,0,English
person,0.35714285714285715,0.5526315789473685,French
Article,0.6666666666666666,0.5517241379310345,English
4,0.6666666666666666,0.5517241379310345,English
No,0.6666666666666666,0.5517241379310345,English
one,0.21052631578947367,0,English
shall,0.2972972972972973,0,English
be,0.2972972972972973,0,English
held,0.10526315789473684,0,English
in,0.10526315789473684,0,English
slavery,0.21951219512195122,0,English
or,0.21951219512195122,0,English
servitude,0.6666666666666666,1.0,French
;,0.6666666666666666,1.0,French
slavery,0.21951219512195122,0,English
and,0.5894736842105263,0.020833333333333332,English
the,0.7631578947368421,0,English
slave,0.9166666666666666,0.3333333333333333,English
trade,0.4,0,English
shall,0.2972972972972973,0,English
be,0.2972972972972973,0,English
prohibited,0.26666666666666666,0,English
in,0.26666666666666666,0,English
all,0.2972972972972973,0,English
their,0.5,0,English
forms,0.2,0,English
Article,0.6666666666666666,0.5517241379310345,English
5,0.6666666666666666,0.5517241379310345,English
No,0.6666666666666666,0.5517241379310345,English
one,0.21052631578947367,0,English
shall,0.2972972972972973,0,English
be,0.2972972972972973,0,English
subjected,0.26666666666666666,0,English
to,0.26666666666666666,0,English
torture,0.21428571428571427,0.18181818181818182,English
or,0.21428571428571427,0.18181818181818182,English
to,0.21428571428571427,0.18181818181818182,English
cruel,0.5,0.07407407407407407,English
inhuman,0.6842105263157895,0.1,English
or,0.6842105263157895,0.1,English
degrading,0.18421052631578946,0,English
treatment,0.42857142857142855,0.5757575757575758,French
or,0.42857142857142855,0.5757575757575758,French
punishment,0.42857142857142855,0.5757575757575758,French
Article,0.6666666666666666,0.5517241379310345,English
6,0.6666666666666666,0.5517241379310345,English
