Word,Probability 1,Probability 2,Predicted Language
Declaración,0.9347826086956522,0,Spanish
Universal,0.10746812386156648,0.1383177570093458,Italian
de,0.47266881028938906,0.2318840579710145,Spanish
Derechos,0.19868995633187772,0.03913894324853229,Spanish
Humanos,0.19868995633187772,0.03913894324853229,Spanish
Adoptada,0.1639871382636656,0.09057971014492754,Spanish
y,0.1639871382636656,0.09057971014492754,Spanish
proclamada,0.1639871382636656,0.09057971014492754,Spanish
por,0.06768558951965066,0.0547945205479452,Spanish
la,0.25,0.18654434250764526,Spanish
Asamblea,0.011041009463722398,0.015985790408525755,Italian
General,0.10746812386156648,0.1383177570093458,Italian
en,0.17665615141955837,0.11367673179396093,Spanish
su,0.06976744186046512,0.09765625,Italian
resolución,0.9347826086956522,0,Spanish
217,0.08333333333333333,0.1,Italian
A,0.08333333333333333,0.1,Italian
(,0.08333333333333333,0.1,Italian
III,0,0,Italian
"),",0,0,Italian
de,0.47266881028938906,0.2318840579710145,Spanish
10,0.16666666666666666,0.1,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
diciembre,0.2478386167146974,0.19325153374233128,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
1948,0.3333333333333333,0,Spanish
Preámbulo,0.1801470588235294,0.09480122324159021,Spanish
Considerando,0.1414790996784566,0.043478260869565216,Spanish
que,0.15934065934065933,0.047619047619047616,Spanish
la,0.25,0.18654434250764526,Spanish
libertad,0.10200364298724955,0.03551401869158879,Spanish
la,0.25,0.18654434250764526,Spanish
justicia,0.08157894736842106,0.05525606469002695,Spanish
y,0.08157894736842106,0.05525606469002695,Spanish
la,0.25,0.18654434250764526,Spanish
paz,0.007285974499089253,0.056074766355140186,Italian
en,0.17665615141955837,0.11367673179396093,Spanish
el,0.07570977917981073,0.09591474245115453,Italian
mundo,0.1414790996784566,0.043478260869565216,Spanish
tienen,0.17665615141955837,0.11367673179396093,Spanish
por,0.06768558951965066,0.0547945205479452,Spanish
base,0.125,0.13671875,Italian
el,0.07570977917981073,0.09591474245115453,Italian
reconocimiento,0.24892703862660945,0.21844660194174756,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
la,0.25,0.18654434250764526,Spanish
dignidad,0.10200364298724955,0.03551401869158879,Spanish
intrínseca,0.07462686567164178,0.05813953488372093,Spanish
y,0.07462686567164178,0.05813953488372093,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
los,0.19868995633187772,0.03913894324853229,Spanish
derechos,0.19868995633187772,0.03913894324853229,Spanish
iguales,0.12460567823343849,0.0905861456483126,Spanish
e,0.12460567823343849,0.0905861456483126,Spanish
inalienables,0.12460567823343849,0.0905861456483126,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
todos,0.19868995633187772,0.03913894324853229,Spanish
los,0.19868995633187772,0.03913894324853229,Spanish
miembros,0.19868995633187772,0.03913894324853229,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
la,0.25,0.18654434250764526,Spanish
familia,0.08157894736842106,0.05525606469002695,Spanish
humana,0.18387909319899245,0.14186046511627906,Spanish
Considerando,0.1414790996784566,0.043478260869565216,Spanish
que,0.15934065934065933,0.047619047619047616,Spanish
el,0.07570977917981073,0.09591474245115453,Italian
desconocimiento,0.24892703862660945,0.21844660194174756,Spanish
y,0.24892703862660945,0.21844660194174756,Spanish
el,0.07570977917981073,0.09591474245115453,Italian
menosprecio,0.09473684210526316,0.07816711590296496,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
los,0.19868995633187772,0.03913894324853229,Spanish
derechos,0.19868995633187772,0.03913894324853229,Spanish
humanos,0.19868995633187772,0.03913894324853229,Spanish
han,0.07832422586520947,0.08971962616822429,Italian
originado,0.1414790996784566,0.043478260869565216,Spanish
actos,0.19868995633187772,0.03913894324853229,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
barbarie,0.12105263157894737,0.022911051212938006,Spanish
ultrajantes,0.12460567823343849,0.0905861456483126,Spanish
para,0.16714697406340057,0.13496932515337423,Spanish
la,0.25,0.18654434250764526,Spanish
conciencia,0.08157894736842106,0.05525606469002695,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
la,0.25,0.18654434250764526,Spanish
humanidad,0.10200364298724955,0.03551401869158879,Spanish
;,0.10200364298724955,0.03551401869158879,Spanish
y,0.10200364298724955,0.03551401869158879,Spanish
que,0.15934065934065933,0.047619047619047616,Spanish
se,0.125,0.13671875,Italian
ha,0.11864406779661017,0.3829787234042553,Italian
proclamado,0.1414790996784566,0.043478260869565216,Spanish
como,0.12878787878787878,0.12264150943396226,Spanish
la,0.25,0.18654434250764526,Spanish
aspiración,0.9347826086956522,0,Spanish
más,0.2,0,Spanish
elevada,0.1639871382636656,0.09057971014492754,Spanish
del,0.07570977917981073,0.09591474245115453,Italian
hombre,0.2478386167146974,0.19325153374233128,Spanish
el,0.07570977917981073,0.09591474245115453,Italian
advenimiento,0.24892703862660945,0.21844660194174756,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
un,0.18681318681318682,0.2328042328042328,Italian
mundo,0.1414790996784566,0.043478260869565216,Spanish
en,0.17665615141955837,0.11367673179396093,Spanish
que,0.15934065934065933,0.047619047619047616,Spanish
los,0.19868995633187772,0.03913894324853229,Spanish
seres,0.12460567823343849,0.0905861456483126,Spanish
humanos,0.19868995633187772,0.03913894324853229,Spanish
liberados,0.19868995633187772,0.03913894324853229,Spanish
del,0.07570977917981073,0.09591474245115453,Italian
temor,0.06768558951965066,0.0547945205479452,Spanish
y,0.06768558951965066,0.0547945205479452,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
la,0.25,0.18654434250764526,Spanish
miseria,0.08157894736842106,0.05525606469002695,Spanish
disfruten,0.17665615141955837,0.11367673179396093,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
la,0.25,0.18654434250764526,Spanish
libertad,0.10200364298724955,0.03551401869158879,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
palabra,0.16714697406340057,0.13496932515337423,Spanish
y,0.16714697406340057,0.13496932515337423,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
la,0.25,0.18654434250764526,Spanish
libertad,0.10200364298724955,0.03551401869158879,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
creencias,0.0692167577413479,0.024299065420560748,Spanish
Considerando,0.1414790996784566,0.043478260869565216,Spanish
esencial,0.10746812386156648,0.1383177570093458,Italian
que,0.15934065934065933,0.047619047619047616,Spanish
los,0.19868995633187772,0.03913894324853229,Spanish
derechos,0.19868995633187772,0.03913894324853229,Spanish
humanos,0.19868995633187772,0.03913894324853229,Spanish
sean,0.07832422586520947,0.08971962616822429,Italian
protegidos,0.19868995633187772,0.03913894324853229,Spanish
por,0.06768558951965066,0.0547945205479452,Spanish
un,0.18681318681318682,0.2328042328042328,Italian
régimen,0.17665615141955837,0.11367673179396093,Spanish
de,0.47266881028938906,0.2318840579710145,Spanish
Derecho,0.6779661016949152,0,Spanish
a,0.6779661016949152,0,Spanish
fin,0.09210526315789473,0.10377358490566038,Italian
de,0.47266881028938906,0.2318840579710145,Spanish
que,0.15934065934065933,0.047619047619047616,Spanish
el,0.07570977917981073,0.09591474245115453,Italian
hombre,0.2478386167146974,0.19325153374233128,Spanish
no,0.06297229219143577,0.09534883720930233,Italian
se,0.125,0.13671875,Italian
vea,0.011041009463722398,0.015985790408525755,Italian
