Word,Probability 1,Probability 2,Predicted Language
DICHIARAZIONE,0,0,Spanish
UNIVERSALE,0,0,Spanish
DEI,0,0,Spanish
DIRITTI,0,0,Spanish
UMANI,0,0,Spanish
Preambolo,0.5428571428571428,0.2222222222222222,Italian
Considerato,0.5384615384615384,0.1,Italian
che,0.6896551724137931,0,Italian
il,0.6896551724137931,0,Italian
riconoscimento,0.32727272727272727,0.2545454545454545,Italian
della,0.7547169811320755,0.6666666666666666,Italian
dignità,0.0945945945945946,0,Italian
inerente,0.4,0.4,Spanish
a,0.4,0.4,Spanish
tutti,0.37681159420289856,0,Italian
i,0.37681159420289856,0,Italian
membri,1.0,0,Italian
della,0.7547169811320755,0.6666666666666666,Italian
famiglia,0.10294117647058823,0.07317073170731707,Italian
umana,0.041666666666666664,0.046511627906976744,Spanish
e,0.041666666666666664,0.046511627906976744,Spanish
dei,0.15625,0,Italian
loro,0.10714285714285714,0,Italian
diritti,0.37681159420289856,0,Italian
uguali,0.16216216216216217,0.11864406779661017,Italian
ed,0.16216216216216217,0.11864406779661017,Italian
inalienabili,0.14814814814814814,0.7142857142857143,Spanish
costituisce,0.05263157894736842,0,Italian
il,0.05263157894736842,0,Italian
fondamento,0.32727272727272727,0.2545454545454545,Italian
della,0.7547169811320755,0.6666666666666666,Italian
libertà,0.29411764705882354,0,Italian
della,0.7547169811320755,0.6666666666666666,Italian
giustizia,0.047619047619047616,0,Italian
e,0.047619047619047616,0,Italian
della,0.7547169811320755,0.6666666666666666,Italian
pace,0.3333333333333333,0.022727272727272728,Italian
nel,0.18181818181818182,0,Italian
mondo,0.14285714285714285,0.3793103448275862,Spanish
;,0.14285714285714285,0.3793103448275862,Spanish
Considerato,0.5384615384615384,0.1,Italian
che,0.6896551724137931,0,Italian
il,0.6896551724137931,0,Italian
disconoscimento,0.32727272727272727,0.2545454545454545,Italian
e,0.32727272727272727,0.2545454545454545,Italian
il,0.32727272727272727,0.2545454545454545,Italian
disprezzo,0.125,0,Italian
dei,0.15625,0,Italian
diritti,0.37681159420289856,0,Italian
umani,0.22916666666666666,0.046511627906976744,Italian
hanno,0.6923076923076923,0,Italian
portato,0.5384615384615384,0.1,Italian
ad,0.5384615384615384,0.1,Italian
atti,0.37681159420289856,0,Italian
di,0.37681159420289856,0,Italian
barbarie,0.05319148936170213,0.029411764705882353,Italian
che,0.6896551724137931,0,Italian
offendono,0.11711711711711711,0.0641025641025641,Italian
la,0.11711711711711711,0.0641025641025641,Italian
coscienza,0.75,1.0,Spanish
dell,0.7037037037037037,0.041666666666666664,Italian
umanità,0.0945945945945946,0,Italian
e,0.0945945945945946,0,Italian
che,0.6896551724137931,0,Italian
l,0.6896551724137931,0,Italian
avvento,0.32727272727272727,0.2545454545454545,Italian
di,0.32727272727272727,0.2545454545454545,Italian
un,0.32727272727272727,0.2545454545454545,Italian
mondo,0.14285714285714285,0.3793103448275862,Spanish
in,0.14285714285714285,0.3793103448275862,Spanish
cui,0.3333333333333333,0,Italian
gli,1.0,0,Italian
esseri,0.0625,0.01834862385321101,Italian
umani,0.22916666666666666,0.046511627906976744,Italian
godano,0.08333333333333333,0.18604651162790697,Spanish
della,0.7547169811320755,0.6666666666666666,Italian
libertà,0.29411764705882354,0,Italian
di,0.29411764705882354,0,Italian
parola,0.02857142857142857,0,Italian
e,0.02857142857142857,0,Italian
di,0.02857142857142857,0,Italian
credo,0.1,0,Italian
e,0.1,0,Italian
della,0.7547169811320755,0.6666666666666666,Italian
libertà,0.29411764705882354,0,Italian
dal,0.32,0,Italian
timore,0.25,0,Italian
e,0.25,0,Italian
dal,0.32,0,Italian
bisogno,0.04,0,Italian
è,0.04,0,Italian
stato,0.5384615384615384,0.1,Italian
proclamato,0.5384615384615384,0.1,Italian
come,0.2727272727272727,0.19444444444444445,Italian
la,0.2727272727272727,0.19444444444444445,Italian
più,0.125,0,Italian
alta,0.3333333333333333,0,Italian
aspirazione,0.2882882882882883,0.1282051282051282,Italian
dell,0.7037037037037037,0.041666666666666664,Italian
uomo,0.18181818181818182,0.25,Spanish
;,0.18181818181818182,0.25,Spanish
Considerato,0.5384615384615384,0.1,Italian
che,0.6896551724137931,0,Italian
è,0.6896551724137931,0,Italian
indispensabile,0.1111111111111111,0,Italian
che,0.6896551724137931,0,Italian
i,0.6896551724137931,0,Italian
diritti,0.37681159420289856,0,Italian
umani,0.22916666666666666,0.046511627906976744,Italian
siano,0.08333333333333333,0.18604651162790697,Spanish
protetti,0.37681159420289856,0,Italian
da,0.37681159420289856,0,Italian
norme,0.25,0.25,Spanish
giuridiche,0.6896551724137931,0,Italian
se,0.6896551724137931,0,Italian
si,0.6896551724137931,0,Italian
vuole,0.05714285714285714,0.2222222222222222,Spanish
evitare,0.11320754716981132,0.01694915254237288,Italian
che,0.6896551724137931,0,Italian
l,0.6896551724137931,0,Italian
uomo,0.18181818181818182,0.25,Spanish
sia,0.24444444444444444,0,Italian
costretto,0.42028985507246375,0,Italian
a,0.42028985507246375,0,Italian
ricorrere,0.2625,0.3486238532110092,Spanish
come,0.2727272727272727,0.19444444444444445,Italian
ultima,0.09523809523809523,0,Italian
istanza,0.75,1.0,Spanish
alla,0.7547169811320755,0.6666666666666666,Italian
ribellione,0.2882882882882883,0.1282051282051282,Italian
contro,0.21212121212121213,0.0625,Italian
la,0.21212121212121213,0.0625,Italian
tirannia,0.01639344262295082,0,Italian
e,0.01639344262295082,0,Italian
l,0.01639344262295082,0,Italian
oppressione,0.2882882882882883,0.1282051282051282,Italian
;,0.2882882882882883,0.1282051282051282,Italian
Considerato,0.5384615384615384,0.1,Italian
che,0.6896551724137931,0,Italian
è,0.6896551724137931,0,Italian
indispensabile,0.1111111111111111,0,Italian
promuovere,0.2625,0.3486238532110092,Spanish
lo,0.2625,0.3486238532110092,Spanish
sviluppo,0.4,0,Italian
di,0.4,0,Italian
rapporti,0.5588235294117647,0.03225806451612903,Italian
amichevoli,0.2571428571428571,0,Italian
tra,0.2727272727272727,0.625,Spanish
le,0.2727272727272727,0.625,Spanish
Nazioni,0.11711711711711711,0.038461538461538464,Italian
;,0.11711711711711711,0.038461538461538464,Italian
Considerato,0.5384615384615384,0.1,Italian
che,0.6896551724137931,0,Italian
i,0.6896551724137931,0,Italian
popoli,0.2571428571428571,0,Italian
delle,0.07547169811320754,0,Italian
Nazioni,0.11711711711711711,0.038461538461538464,Italian
Unite,0.05405405405405406,0,Italian
hanno,0.6923076923076923,0,Italian
riaffermato,0.5384615384615384,0.1,Italian
nello,0.05660377358490566,0.3333333333333333,Spanish
Statuto,0.2727272727272727,0,Italian
la,0.2727272727272727,0,Italian
loro,0.10714285714285714,0,Italian
fede,0.1,0,Italian
nei,0.015151515151515152,0,Italian
diritti,0.37681159420289856,0,Italian
umani,0.22916666666666666,0.046511627906976744,Italian
fondamentali,0.16216216216216217,0.11864406779661017,Italian
nella,0.7547169811320755,0.6666666666666666,Italian
dignità,0.0945945945945946,0,Italian
e,0.0945945945945946,0,Italian
nel,0.18181818181818182,0,Italian
valore,0.25,0,Italian
della,0.7547169811320755,0.6666666666666666,Italian
persona,0.09009009009009009,0.3076923076923077,Spanish
umana,0.041666666666666664,0.046511627906976744,Spanish
nell,0.7037037037037037,0.041666666666666664,Italian
uguaglianza,0.75,1.0,Spanish
dei,0.15625,0,Italian
diritti,0.37681159420289856,0,Italian
dell,0.7037037037037037,0.041666666666666664,Italian
uomo,0.18181818181818182,0.25,Spanish
